Name;Typ;Strasse;PLZ;Ort;Telefon;Mail;Homepage;Montag;Dienstag;Mittwoch;Donnerstag;Freitag;Samstag;Sonntag;O_MO;O_DI;O_MI;O_DO;O_FR;O_SA;O_SO;Kommentar
Berggasthof am Rothenberg;fränkisch;Rothenberg Str. 1 Berggasthof am Rothenberg;91220;Schnaittach;+4991539490214;;https://berggasthofamrothenberg.de;x;x;x;x;x;Sa;So;x;x;x;x;x;11:00 - 21:00;11:00 - 21:00;
Gasthof Goldener Stern;ungarisch;An der Osternohe 2;91220;Schnaittach;+4915237348589;;https://goldenerstern-osternohe.de;Mo;Di;x;Do;Fr;Sa;So;11:00 - 21:00;11:00 - 21:00;x;11:00 - 21:00;11:00 - 22:00;11:00 - 22:00;11:00 - 22:00;
Gasthof Graoler`s Wirt;fränkisch;Hormersdorf Parkstr. 5;91220;Schnaittach;+499152205;;https://www.facebook.com/profile.php?id=100063442226804;x;x;Mi;Do;Fr;Sa;So;x;x;10:00 - 14:00 & 17:30 - 20:00; 10:00 - 14:00 & 17:30 - 20:00;10:00 - 14:00 & 17:30 - 20:00;10:00 - 14:00 & 17:30 - 20:00;10:00 - 14:00 & 17:30 - 20:00;
Holzwurm;Cafe;Spanhaufenstr. 12;91220;Schnaittach;+4991537325;holzwurmcafe@aol.com;http://www.mitten-im-web.de/holzwurmcafe/index.html;Mo;x;x;Do;Fr;Sa;So;17:00 - 21:00;x;x;17:00 - 21:00;17:00 - 21:00;11:30 - 21:00;11:30 - 21:00;
Igelwirt;fränkisch;Schlossberg Igelweg 6;91220;Schnaittach;+4991534060;info@igelwirt.de;https://www.igelwirt.de;x;Di;Mi;Do;Fr;Sa;So;x;17:00 - 20:30;17:00 - 20:30;17:00 - 20:30;11:30 - 20:30;11:30 - 20:30;11:30 - 20:30;
La Rustica;italienisch;Mühlgasse 10;91220;Schnaittach;+499153970848;info@larustica-schnaittach.de;https://www.larustica-schnaittach.de;Mo;x;Mi;Do;Fr;Sa;So;17:00 - 22:00;x;17:00 - 22:00;17:00 - 22:00;17:00 - 22:00;17:00 - 22:00;11:30 - 22:00;
La Stella;italienisch;Bahnhofstr. 22;91220;Schnaittach;+499153924948;;;Mo;Di;Mi;Do;Fr;Sa;So;11:30 - 14:00 & 16:30 - 21:00; 11:30 - 14:00 & 16:30 - 21:00; 11:30 - 14:00 & 16:30 - 21:00;11:30 - 14:00 & 16:30 - 21:00;11:30 - 14:00 & 16:30 - 21:00;11:30 - 14:00 & 16:30 - 21:00;11:30 - 14:00 & 16:30 - 21:00;
LILI's Asia Imbiss;thailändisch;Bahnhofstr. 20;91220;Schnaittach;+4991539258926;;;Mo;Di;Mi;Do;Fr;Sa;x;11:00 - 21:00; 11:00 - 21:00;11:00 - 21:00;11:00 - 21:00;11:00 - 21:00;11:00 - 21:00;x;
Marktcafe Schnaittach;Cafe;Marktpl. 12;91220;Schnaittach;+4991534999941;marktcafe-schnaittach@online.de;https://m.facebook.com/marktcafe.schnaittach/?locale2=de_DE;x;Di;Mi;Do;Fr;Sa;So;x;09:00 - 18:00; 09:00 - 18:00; 09:00 - 18:00;09:00 - 18:00; 07:00 - 12:00; 12:00 - 17:00;
Next Generation Kebap House;türkisch;Marktpl. 6;91220;Schnaittach;+4991532661769;oezdemir@ngkebap.de;https://www.facebook.com/p/Next-Generation-Kebap-House-100088510659322;Mo;Di;Mi;Do;Fr;Sa;x;11:00 - 19:00; 11:00 - 19:00; 11:00 - 19:00;11:00 - 19:00;11:00 - 19:00;11:00 - 19:00;x;
Ristorante Maria;italienisch;Bahnhofstr. 26;91220;Schnaittach;+4991537862;;https://www.rothenberger-hof.de;x;Di;Mi;Do;Fr;Sa;So;x;11:30 - 14:00 & 17:00 - 22:00; 11:30 - 14:00 & 17:00 - 22:00; 11:30 - 14:00 & 17:00 - 22:00;11:30 - 14:00 & 17:00 - 22:00;11:30 - 14:00 & 17:00 - 22:00;11:30 - 14:00 & 17:00 - 21:30;
Sportheim FC Schnaittach;fränkisch;Sandplatte 9;91220;Schnaittach;+4991538500;;https://www.fc-schnaittach.de/hauptverein/sportheim;x;Di;Mi;Do;Fr;Sa;So;x;17:00 - 22:00;17:00 - 22:00;17:00 - 22:00;17:00 - 00:00;11:00 - 00:00;11:00 - 21:00;
Schwarzer Adler;fränkisch;Haidlinger Straße 16;91220;Schnaittach;+4991537593;info@schwarzer-adler-osternohe.de;https://www.schwarzer-adler-osternohe.de;x;x;Mi;Do;Fr;x;So;x;x;11:00 - 13:30;11:00 - 13:30;11:00 - 13:30;x;11:30 - 14:30 & 17:00 - 19:30;
